experiment,task,split,metric,mean,std,ci95_low,ci95_high,ci_method,n_seeds,seeds,values
colored_rotation_vit,colored_rotation,validation,balanced_accuracy,0.598,0.017058722109231997,0.5556203648788713,0.6403796351211286,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.603, 0.612, 0.579]"
colored_rotation_vit,colored_rotation,validation,brier,0.24821988768548406,0.0023844561825835373,0.24229609208501987,0.2541436832859483,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.2455341424710332, 0.24903767861434728, 0.25008784197107164]"
colored_rotation_vit,colored_rotation,validation,fn,207.33333333333334,23.860706890897706,148.05526752668123,266.61139913998545,student_t_over_independent_seeds,3,"[0, 1, 2]","[188.0, 200.0, 234.0]"
colored_rotation_vit,colored_rotation,validation,fp,194.66666666666666,12.42309676905615,163.80349269760694,225.52984063572637,student_t_over_independent_seeds,3,"[0, 1, 2]","[209.0, 188.0, 187.0]"
colored_rotation_vit,colored_rotation,validation,log_loss,0.7005485465946982,0.007681635759548325,0.6814647653748324,0.7196323278145641,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6925054698581966, 0.7078087907847908, 0.7013313791411073]"
colored_rotation_vit,colored_rotation,validation,n,1000.0,0.0,1000.0,1000.0,student_t_over_independent_seeds,3,"[0, 1, 2]","[1000.0, 1000.0, 1000.0]"
colored_rotation_vit,colored_rotation,validation,threshold,0.5,0.0,0.5,0.5,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5, 0.5, 0.5]"
colored_rotation_vit,colored_rotation,validation,tn,305.3333333333333,12.42309676905615,274.4701593642736,336.196507302393,student_t_over_independent_seeds,3,"[0, 1, 2]","[291.0, 312.0, 313.0]"
colored_rotation_vit,colored_rotation,validation,tp,292.6666666666667,23.860706890897706,233.38860086001458,351.9447324733188,student_t_over_independent_seeds,3,"[0, 1, 2]","[312.0, 300.0, 266.0]"
dinov3_vits16_frozen_colored,colored,test_id,accuracy,0.5226666666666667,0.0109696551146029,0.49541433333333335,0.549919,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.51, 0.529, 0.529]"
dinov3_vits16_frozen_colored,colored,test_id,accuracy_ci95_high,0.5534736925411385,0.010901288340147452,0.5263912053977646,0.5805561796845125,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5408859690257428, 0.5597675542988364, 0.5597675542988364]"
dinov3_vits16_frozen_colored,colored,test_id,accuracy_ci95_low,0.49168616107418295,0.01095406544747159,0.46447255774655893,0.518899764401807,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.47903749580454597, 0.49801049370900147, 0.49801049370900147]"
dinov3_vits16_frozen_colored,colored,test_id,auc,0.5320293333333334,0.012799563950906026,0.5002308875602244,0.5638277791064423,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.517348, 0.540844, 0.537896]"
dinov3_vits16_frozen_colored,colored,test_id,balanced_accuracy,0.5226666666666667,0.0109696551146029,0.49541433333333335,0.549919,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.51, 0.529, 0.529]"
dinov3_vits16_frozen_colored,colored,test_id,brier,0.24919308482465607,0.0007288282630264751,0.24738242892351375,0.2510037407257984,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.24990737767194532, 0.2484505425873085, 0.24922133421471437]"
dinov3_vits16_frozen_colored,colored,test_id,fn,118.33333333333333,45.54484969053398,5.184523054813624,231.48214361185302,student_t_over_independent_seeds,3,"[0, 1, 2]","[84.0, 101.0, 170.0]"
dinov3_vits16_frozen_colored,colored,test_id,fp,359.0,53.3572862878164,226.44245498275097,491.557545017249,student_t_over_independent_seeds,3,"[0, 1, 2]","[406.0, 370.0, 301.0]"
dinov3_vits16_frozen_colored,colored,test_id,log_loss,0.6906745973186807,0.0020864625006838953,0.6854911188079987,0.6958580758293628,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6929619589071428, 0.6888757001560024, 0.6901861328928971]"
dinov3_vits16_frozen_colored,colored,test_id,n,1000.0,0.0,1000.0,1000.0,student_t_over_independent_seeds,3,"[0, 1, 2]","[1000.0, 1000.0, 1000.0]"
dinov3_vits16_frozen_colored,colored,test_id,threshold,0.5,0.0,0.5,0.5,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5, 0.5, 0.5]"
dinov3_vits16_frozen_colored,colored,test_id,tn,141.0,53.3572862878164,8.442454982750974,273.557545017249,student_t_over_independent_seeds,3,"[0, 1, 2]","[94.0, 130.0, 199.0]"
dinov3_vits16_frozen_colored,colored,test_id,tp,381.6666666666667,45.54484969053398,268.517856388147,494.8154769451864,student_t_over_independent_seeds,3,"[0, 1, 2]","[416.0, 399.0, 330.0]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,accuracy,0.508,0.006244997998398403,0.49248531286167846,0.5235146871383216,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.503, 0.506, 0.515]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,accuracy_ci95_high,0.5388942383328775,0.00621390465107258,0.5234567975853421,0.5543316790804129,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.5339183647348104, 0.5369052205347923, 0.5458591297290302]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,accuracy_ci95_low,0.47704453353135357,0.0062282952845980465,0.4615713415831089,0.4925177254795982,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.4720586747142764, 0.47504885836338107, 0.4840260675164033]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,auc,0.50136,0.010770636378598986,0.47460209651669333,0.5281179034833067,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.504372, 0.489404, 0.510304]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,balanced_accuracy,0.508,0.006244997998398403,0.49248531286167846,0.5235146871383216,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.503, 0.506, 0.515]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,brier,0.252657812400362,0.0022893649704850646,0.2469702555313898,0.2583453692693342,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.25007915312268003, 0.25445120474889554, 0.25344307932951043]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,fn,111.33333333333333,46.371686763943934,-3.8696198787166622,226.53628654538332,student_t_over_independent_seeds,3,"[0, 1, 2]","[71.0, 101.0, 162.0]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,fp,380.6666666666667,52.59594407683289,250.00055319377307,511.3327801395603,student_t_over_independent_seeds,3,"[0, 1, 2]","[426.0, 393.0, 323.0]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,log_loss,0.6986069530405379,0.004698207039256609,0.6869350177823008,0.710278888298775,student_t_over_independent_seeds,3,"[0, 1, 2]","[0.6933055801919257, 0.7022550029009684, 0.7002602760287198]"
dinov3_vits16_frozen_colored,colored,test_ood_angle,n,1000.0,0.0,1000.0,1000.0,student_t_over_independent_seeds,3,"[0, 1, 2]","[1000.0, 1000.0, 1000.0]"
